Ticker,VAP_BV,VAP_SALES,VAP_GRAHAM,VAP_EARNINGS,LTP
CONCOR.NS,329.95,199.86,275.58,297.76,590.25
PERSISTENT.NS,970.53,1544.2,1131.77,1729.92,4426.7
INDIAMART.NS,1097.56,444.94,1145.3,1512.96,4932.9
DEVYANI.NS,12.62,36.01,18.61,35.84,141.65
KPRMILL.NS,182.07,253.16,229.91,378.72,590.7
CGPOWER.NS,16.41,67.34,29.23,68.8,296.3
ZYDUSLIFE.NS,297.31,244.41,276.06,329.92,482.3
HINDZINC.NS,131.91,118.9,210.91,427.52,320.25
BALKRISIND.NS,715.27,771.0,730.66,966.56,1978.9
LUPIN.NS,476.49,537.47,NA,0.0,648.55
NATCOPHARM.NS,459.17,201.64,345.36,338.88,548.45
ISEC.NS,146.33,140.06,254.97,577.28,439.8
WHIRLPOOL.NS,488.51,794.88,340.83,305.28,1340.7
BATAINDIA.NS,180.29,389.09,238.51,403.36,1416.3
LTTS.NS,777.59,1077.21,999.46,1630.4,3360.9
AIAENG.NS,964.33,746.92,1132.13,1687.68,2823.35
NAVINFLUOR.NS,711.92,545.22,749.72,1018.08,4263.6
CLEAN.NS,150.68,133.55,214.7,401.92,1343.55
IPCALAB.NS,411.64,357.63,325.71,331.36,784.4
FEDERALBNK.NS,173.18,62.66,167.75,208.0,127.0
HATSUN.NS,89.93,476.82,96.03,131.68,832.85
ZFCVINDIA.NS,2105.67,2562.31,1954.91,2316.0,10095.5
MRF.NS,60841.88,79903.1,32525.14,22412.32,84164.6
INDHOTEL.NS,92.22,54.33,77.75,84.96,314.05
VBL.NS,190.64,410.02,205.65,646.11,1355.1
DELHIVERY.NS,229.91,154.6,NA,0.0,325.7
MFSL.NS,209.82,1356.32,146.27,133.92,632.95
HAPPSTMNDS.NS,94.65,139.2,134.67,247.36,804.55
TATAELXSI.NS,492.01,724.32,834.77,1824.16,6040.85
BHARATFORG.NS,255.28,418.53,202.31,206.88,770.1
CUMMINSIND.NS,348.15,400.94,409.07,620.32,1630.5
GODREJPROP.NS,583.71,107.12,315.61,224.0,1066.9
SUNDARMFIN.NS,1510.51,382.42,1467.48,1826.4,2274.15
KAJARIACER.NS,253.51,404.46,255.3,329.76,1040.8
DIXON.NS,338.16,3062.11,407.63,631.68,2898.8
TORNTPOWER.NS,419.86,750.73,345.1,372.48,515.5
EMAMILTD.NS,128.13,153.31,155.46,549.18,364.1
IEX.NS,20.85,10.99,42.83,262.71,147.95
GUJGASLTD.NS,167.16,387.83,215.63,362.72,491.25
PAGEIND.NS,2146.52,6707.34,3994.14,9620.32,37516.4
ZEEL.NS,209.03,132.24,107.68,72.48,216.0
PETRONET.NS,179.45,593.02,221.52,360.8,229.3
STARHEALTH.NS,205.62,304.91,138.87,120.64,552.9
MAXHEALTH.NS,130.08,66.82,126.42,159.2,466.85
SOLARINDS.NS,432.85,1041.38,658.78,1277.12,3811.45
POONAWALLA.NS,153.75,35.89,121.83,125.92,286.15
LINDEINDIA.NS,591.24,426.82,603.97,781.28,3915.35
APLLTD.NS,473.85,437.19,252.2,173.76,489.65
BHEL.NS,121.58,103.19,55.61,33.76,74.3
THERMAX.NS,580.04,1001.96,497.58,559.2,2291.15
TIINDIA.NS,312.61,1068.97,106.14,44.96,2480.0
SONACOMS.NS,65.99,64.42,73.35,105.76,413.55
IGL.NS,212.42,280.21,251.21,387.2,439.0
JUBLFOOD.NS,57.25,116.91,67.54,103.68,448.15
SANOFI.NS,1001.55,1809.24,1824.87,4274.72,5681.0
BAYERCROP.NS,1147.71,1703.03,1559.83,2701.12,3985.1
ALKEM.NS,1366.16,1393.69,1219.22,1382.56,3149.75
TRIDENT.NS,14.1,19.84,12.69,14.88,27.65
UBL.NS,358.74,563.31,263.85,558.63,1436.45
3MINDIA.NS,3699.05,4980.94,4179.64,5893.28,21783.3
COROMANDEL.NS,461.32,1474.37,641.05,1156.16,894.45
IRFC.NS,61.06,7.78,61.28,79.04,26.8
DEEPAKNTR.NS,490.74,884.51,621.23,1025.28,1810.3
IDFCFIRSTB.NS,65.25,32.41,50.11,50.24,55.1
NIACL.NS,440.14,366.79,109.78,36.0,102.7
ALKYLAMINE.NS,379.74,499.37,453.08,694.08,2303.75
NAM-INDIA.NS,98.06,36.61,114.0,171.84,208.65
POLYCAB.NS,758.36,1397.74,845.91,1226.72,2860.7
APLAPOLLO.NS,194.18,884.25,230.49,359.84,1243.85
GICRE.NS,670.62,421.99,532.01,554.24,137.85
UNOMINDA.NS,121.01,288.8,122.57,163.04,452.45
HINDPETRO.NS,361.04,4550.62,NA,0.0,242.7
VOLTAS.NS,303.54,423.58,137.88,81.44,833.05
ABB.NS,422.11,610.25,506.24,781.76,3360.45
ENDURANCE.NS,526.23,941.94,459.69,524.32,1230.8
SUNDRMFAST.NS,245.68,396.25,265.47,367.04,982.7
AUROPHARMA.NS,760.93,602.67,593.98,575.68,486.15
NHPC.NS,67.29,15.54,55.69,59.84,40.0
VINATIORGA.NS,349.13,303.5,433.13,692.96,1780.55
SKFINDIA.NS,776.38,1309.91,984.08,1622.88,4252.85
JSWENERGY.NS,203.79,96.86,169.15,188.96,247.95
PRESTIGE.NS,429.29,307.13,427.76,556.0,419.75
OBEROIRLTY.NS,554.05,169.78,509.64,609.12,855.7
COFORGE.NS,851.95,1899.63,1137.71,1983.52,3748.6
SUNTV.NS,413.47,147.67,463.28,679.2,427.25
MANYAVAR.NS,85.02,81.9,129.58,255.84,1123.65
